"Original Text","Initial","Machine translation","Better translation","Best translation"
"\E…いくら何でも起きると思うが…。","","","\E\font[3]\f[18]\-[2]...I think she will wake up no matter what....",""
"脱がすキャミ","","","",""
"\Eふふ…妹のおっぱい、好き？","","","\E\font[3]\f[18]\-[2]Hehe... do you like your cute sister's boobs?",""
"\E…見たいの？","","","\E\font[3]\f[18]\-[2]...You want to see it?",""
"\E…ん…わかった…。","","","\E\font[3]\f[18]\-[2]... Nn... got it...",""
"\E…お兄ちゃん…見えちゃう…。","","","\E\font[3]\f[18]\-[2]... Onii-chan is... looking at them...",""
"\E…ん…お兄ちゃん…どうしたの…？","","","\E\font[3]\f[18]\-[2]... Nn... Onii-chan... What's wrong...?",""
"\E…気付かれないように肩紐をほどいて…。","","","\E\font[3]\f[18]\-[2]...Untie the shoulder straps so as not to be noticed....",""
"\E…いっぱいエッチしようね♥","","","\E\font[3]\f[18]\-[2]...Let's have lots of sex.. \font[0]♥\font[3]",""
"\Eん、わかった。脱ぐね。","","","\E\font[3]\f[18]\-[2]Nnh, got it. I'll take it off.",""
"\E…やっぱりなんか恥ずかしいよ…。","","","\E\font[3]\f[18]\-[2]... It really is kind of embarrassing...",""
"\E…は、恥ずかしいよ…。","","","\E\font[3]\f[18]\-[2]...I-It's embarrassing...",""
"\E…あれ…お兄ちゃん…？
なんで脱がしてるの…？","","","\E\font[3]\f[18]\-[2]...Huh... Onii-chan...?
Why are you undressing me...?",""
"\E…さすがに起きそうだが…。","","","\E\font[3]\f[18]\-[2]...It looks like she's going to wake up...",""
"脱がす短パン","","","",""
"\Eお兄ちゃんのも見せて…。","","","\E\font[3]\f[18]\-[2]Onii-chan, show me yours too...",""
"\Eそんなに焦んなくてもいいんだよ…？","","","\E\font[3]\f[18]\-[2]You don't have to be so hasty, you know...?",""
"\E脱ぐんだよね…うん…。","","","\E\font[3]\f[18]\-[2]You're taking it off, right... Okay...",""
"\Eお兄ちゃん…
見るだけ…見るだけだよ…？","","","\E\font[3]\f[18]\-[2]Onii-chan...
You... you can only look, okay...?",""
"\Eうぅん…？
なんで脱がすの…？","","","\E\font[3]\f[18]\-[2]Nnhuh...?
Why are you taking it off...?",""
"\E…よし、このまま全部…。","","","\E\font[3]\f[18]\-[2]...Okay, like this, all of it...",""
"\E脱がせてくれるの…？","","","\E\font[3]\f[18]\-[2]You want to take it off...?",""
"\Eもー…いたずらしないの…。","","","\E\font[3]\f[18]\-[2]Geez... don't do mischievous things to me...",""
"\Eふぁ…お兄ちゃん何してるの…？","","","\E\font[3]\f[18]\-[2]Fuah... Onii-chan, what are you doing...?",""
"\E…少しづつゆっくり下げて…。","","","\E\font[3]\f[18]\-[2]...Lower it slowly little by little...",""
"脱がすショーツ","","","",""
"\Eお兄ちゃん…もう触って…。","","","\E\font[3]\f[18]\-[2]Onii-chan... just touch me already...",""
"\Eふふ、そんなに妹のおまんこ見たいの…？","","","\E\font[3]\f[18]\-[2]Hehe, you want to see your sister's pussy that badly...?",""
"\E焦らなくても逃げないよ…。","","","\E\font[3]\f[18]\-[2]No need to be so hasty, I'm not going anywhere...",""
"\Eだ、だめ…。","","","\E\font[3]\f[18]\-[2]Do, don't...",""
"\Eふふ…くすぐったいよお兄ちゃん…。","","","\E\font[3]\f[18]\-[2]Ehehe... Onii-chan, that tickles...",""
"\E脱がせて…。","","","\E\font[3]\f[18]\-[2]Take it off for me...",""
"\Eお兄ちゃん…。","","","\E\font[3]\f[18]\-[2]Onii-chan...",""
"\Eこれ以上は…見えちゃう…。","","","\E\font[3]\f[18]\-[2]Any more than this... you'll be able to see it...",""
"\E…ん…ふぁ……なあに？","","","\E\font[3]\f[18]\-[2]...Nn... fuah... what?",""
"\E…よし、このままそーっと…。","","","\E\font[3]\f[18]\-[2]...Good, like this, gently...",""
"\Eいっぱいエッチしようね…♥","","","\E\font[3]\f[18]\-[2]Let's have lots of sex...\font[0]♥\font[3]",""
"\Eん…見える…？","","","\E\font[3]\f[18]\-[2]Nhn... can you see it...?",""
"\Eお兄ちゃん…
ダメだよ…。","","","\E\font[3]\f[18]\-[2]Onii-chan...
Bad, that's not good...",""
"\Eふぇ…おにいちゃん…？","","","\E\font[3]\f[18]\-[2]Fueh... Onii-chan...?",""
"\E…あと少しで…ゴクリ。","","","\E\font[3]\f[18]\-[2]...Just a little more... *gulp*",""
"めくるパジャマ/パンツ","","","",""
"hscene/h_s10_pantu02.png","","","",""
"hscene/h_s10_pantu01.png","","","",""
"\E…ね、もっと…しよ？","","","\E\font[3]\f[18]\-[2]...Hey, let's... do more, okay?",""
"\E…パジャマ脱ごっか？","","","\E\font[3]\f[18]\-[2]...Should I take off my pajamas?",""
"\E…戻しちゃうんだ？","","","\E\font[3]\f[18]\-[2]...You're going to put it back?",""
"\E…ん……。","","","\E\font[3]\f[18]\-[2]...Nnn...",""
"\E…パタパタさせないでよー。","","","\E\font[3]\f[18]\-[2]...Don't flap it.",""
"\E…んもう…。","","","\E\font[3]\f[18]\-[2]...Geez....",""
"\E…もう、なんなの。","","","\E\font[3]\f[18]\-[2]...Geez, what is it?",""
"\E…お兄ちゃん…何やってるの…。","","","\E\font[3]\f[18]\-[2]...Onii-chan... what are you doing....",""
"\E…ふぅ。","","","\E\font[3]\f[18]\-[2]...Whew.",""
"\E…うぅん…。","","","\E\font[3]\f[18]\-[2]...Hmmm...",""
"\E…一応戻しておこう…。","","","\E\font[3]\f[18]\-[2]...I'll put it back just in case...",""
"\E…そーっと…。","","","\E\font[3]\f[18]\-[2]...Gently....",""
"■■処理さわる左","","","",""
"道具ローター","","","",""
"hscene/h_s01_action_rotor2.png","","","",""
"hscene/h_s02_action_rotor.png","","","",""
"hscene/h_s04_action_rotor.png","","","",""
"hscene/h_s05_action_rotor.png","","","",""
"hscene/h_s06_action_rotor.png","","","",""
"hscene/h_s07_action_rotor01.png","","","",""
"hscene/h_s10_action_rotor01.png","","","",""
"hscene/h_s01_action_rotor.png","","","",""
"hscene/h_s07_action_rotor02.png","","","",""
"hscene/h_s10_action_rotor02.png","","","",""
"道具バイブ","","","",""
"\Eこんなのって…","","","\E\font[3]\f[18]\-[2]This is...",""
"\Eそんなの…怖いよ…。","","","\E\font[3]\f[18]\-[2]That's... scary...",""
"\Eや、やだっ…！やめて…！","","","\E\font[3]\f[18]\-[2]N, no... don't...! Stop it...!",""
"hscene/h_s01_action_vibrator.png","","","",""
"hscene/h_s02_action_vibrator.png","","","",""
"hscene/h_s04_action_vibrator.png","","","",""
"hscene/h_s05_action_vibrator.png","","","",""
"hscene/h_s06_action_vibrator.png","","","",""
"hscene/h_s10_action_vibrator2.png","","","",""
"hscene/h_s10_action_vibrator.png","","","",""
"道具アナルバイブ","","","",""
"\Eっ…ひどい…。","","","\E\font[3]\f[18]\-[2]...That's mean...",""
"\Eそんなの入れるの…怖いよ…。","","","\E\font[3]\f[18]\-[2]Putting something like that in... is scary...",""
"\Eい、いや…何するの…やめて！","","","\E\font[3]\f[18]\-[2]You, you can't... what are you doing... stop it!",""
"hscene/h_s02_action_analv.png","","","",""
"hscene/h_s04_action_analv.png","","","",""
"hscene/h_s06_action_analvibrator.png","","","",""
"hscene/h_s10_action_analvibrator.png","","","",""
"道具触手","","","",""
"\Eいやっ！いやああ…っ！！","","","\E\font[3]\f[18]\-[2]No! Nooo...!!",""
"\Eや、やだ…怖いっ…！","","","\E\font[3]\f[18]\-[2]N, no... I'm scared...!",""
"\Eひっ！
い、いや…やめてお兄ちゃんっ！","","","\E\font[3]\f[18]\-[2]Eek!
You, you can't... stop it, Onii-chan!",""
"hscene/h_s01_action_tentacle.png","","","",""
"hscene/h_s02_action_tentacle.png","","","",""
"hscene/h_s04_action_tentacle.png","","","",""
"hscene/h_s05_action_tentacle.png","","","",""
"hscene/h_s06_action_tentacle.png","","","",""
"精子を拭き取る処理","","","",""
"\E精子を拭き取るのか…？","","","\E\font[3]\f[18]\-[2]Wipe off the sperm...?",""
"\Eだな、さすがに拭いておこう…。","","","\E\font[3]\f[18]\-[2]Yeah, I guess I'll wipe it off...",""
"\E拭き取っておくか…。","","","\E\font[3]\f[18]\-[2]I guess I'll wipe it off...",""
"\Eええとティッシュティッシュ…。","","","\E\font[3]\f[18]\-[2]Err, tissues... tissues...",""
"\Eわぁ…いっぱいだしたねー、えへへ♥","","","\E\font[3]\f[18]\-[2]Wow... you came a lot, ehehe..\font[0]♥\font[3]",""
"\Eまたしちゃったね…♥","","","\E\font[3]\f[18]\-[2]We did it again...\font[0]♥\font[3]",""
"\E……もう気は済んだ？","","","\E\font[3]\f[18]\-[2]...Are you satisfied now?",""
"\Eお兄ちゃんちょっとくすぐったい…。","","","\E\font[3]\f[18]\-[2]Onii-chan, that tickles a little...",""
"\E……兄妹なのにね…だめだね。","","","\E\font[3]\f[18]\-[2]Even though we're siblings... we're done for.",""
"\E………こんな関係…。","","","\E\font[3]\f[18]\-[2].........This kind of relationship...",""
"\E…お兄ちゃん……。","","","\E\font[3]\f[18]\-[2]...Onii-chan...",""
"\E………ぐす…どうして…。","","","\E\font[3]\f[18]\-[2]...*sob*... Why...?",""
"\E……うぅ…こんなの……ひどいよ…。","","","\E\font[3]\f[18]\-[2]......Uuu... this is...... horrible...",""
"ポーズ変更処理","","","",""
"睡眠度合いなどのパラメータに応じたリアクションを作成すること","","","",""
"\E足を広げるのか…？","","","\E\font[3]\f[18]\-[2]Spread her legs...?",""
"\Eいや…まずいだろ…。","","","\E\font[3]\f[18]\-[2]Crap... that's no good....",""
"\Eうん…わかった…。","","","\E\font[3]\f[18]\-[2]Yeah... got it....",""
"\Eあ、あまり見ないで…。","","","\E\font[3]\f[18]\-[2]Do, don't stare so much...",""
"\Eだめ…。","","","\E\font[3]\f[18]\-[2]No, you can't...",""
"\Eこんな格好…恥ずかしい…。","","","\E\font[3]\f[18]\-[2]This position... is embarrassing...",""
"\Eい…いや…！","","","\E\font[3]\f[18]\-[2]N... noo...!",""
"挿入状態/アイテム解除","","","",""
"\E足を閉じさせるのか…？","","","\E\font[3]\f[18]\-[2]Close her legs...?",""
"\E足を閉じるの…？","","","\E\font[3]\f[18]\-[2]You want me to close my legs...?",""
"■中央クリック処理","","","",""
"横向き　直接お触り時の処理を行っています","","","",""
"\E…深く寝入っているようだ。
熱い吐息と高揚した頬…興奮しているのか…？","","","\E\font[3]\f[18]\-[2]...She appears to be in a deep sleep. 
Her warm breath and flushed cheeks... is she turned on...?",""
"\E…耳を澄ますと規則正しい寝息が聞こえてくる。
少しだけ頬が紅潮しているように見える。","","","\E\font[3]\f[18]\-[2]...If you listen closely, you can hear her regular breathing while she sleeps. 
Her cheeks look slightly flushed.",""
"\E…耳を澄ますと規則正しい寝息が聞こえてくる。
しばらく目を覚ますことはないだろうな。","","","\E\font[3]\f[18]\-[2]...If you listen closely, you can hear her regular breathing while she sleeps. 
I don't think she'll wake up for a while.",""
"\E…半分夢心地といった表情だ。
しっとりと汗ばんで息も荒い…興奮しているようだ。","","","\E\font[3]\f[18]\-[2]She has a dreamy look on her face. 
She's sweating and her breathing is ragged... She seems to be turned on.",""
"\E…まだ夢から覚めていないのだろう、うつろげな表情だ。
少しだけ頬が紅潮しているように見える。","","","\E\font[3]\f[18]\-[2]...She must not have woken up from her dream yet. Her expression is vacant.
Her cheeks look a little flushed.",""
"\E…夢心地…といったところだろうか…
そろそろ目を覚ますかも知れない。","","","\E\font[3]\f[18]\-[2]...I guess you could say her expression is kind of dreamy... 
She might wake up soon.",""
"\E…完全に起きてしまった…再び寝入ることはないだろう。
訴えるような熱い視線を絡ませてくる…。","","","\E\font[3]\f[18]\-[2]...She's completely awake... she won't fall asleep again. 
Her passionate, pleading gaze intertwines with mine..",""
"\E…完全に起きてしまった…再び寝入ることはないだろう。
少し頬が赤いように見える…。","","","\E\font[3]\f[18]\-[2]...She's completely awake... she won't fall asleep again. 
Her cheeks look slightly red...",""
"\E…完全に起きてしまった…再び寝入ることはないだろう。","","","\E\font[3]\f[18]\-[2]...She's completely awake... she won't fall asleep again. ",""
"\E眠る妹の頬に軽くキスをする…。","","","\E\font[3]\f[18]\-[2]I lightly kissed my sleeping sister's cheek...",""
"\E……すぅ…すぅ……。","","","\E\font[3]\f[18]\-[2]...Zzz... zzz...",""
"\Eまどろむ妹に引き寄せられるように口を近づける…。","","","\E\font[3]\f[18]\-[2]I leaned in closer to my sleeping sister, as if irresistibly drawn to her lips.",""
"\E……ん…おにいちゃ……？","","","\E\font[3]\f[18]\-[2]......Mm......Onii-chan......?",""
"\E深く繋がったまま唇を貪り合い
互いの舌を絡ませ唾液を交換する。","","","\E\font[3]\f[18]\-[2]We devour each other's lips, still deeply connected... 
Entwining our tongues and exchanging saliva.",""
"\Eぷぁ…おにい…ん…♥
ちゅ…れろ…ちゅ……っ……じゅる…","","","\E\font[3]\f[18]\-[2]Puah... Onii... nn...\font[0]♥\font[3]
*kiss*... *lick*... *kiss*... *slurp*...",""
"\E繋がったままの妹を抱き寄せ唇を寄せ合う…。","","","\E\font[3]\f[18]\-[2]I hugged my sister, our bodies still connected, and brought our lips together...",""
"\Eおにいちゃん…ちゅ…♥
ちゅ…すき…すき……ちゅ…","","","\E\font[3]\f[18]\-[2]Onii-chan... *kiss*\font[0]♥\font[3]
I... I love you... I love you... *kiss*",""
"\Eとろけ顔で見つめてくる妹と唇を重ねると
当たり前のように舌が割り込んでくる…。","","","\E\font[3]\f[18]\-[2]I pressed my lips against hers as she stared at me with an enchanted expression.
I feel her tongue intervene as if it were a matter of course...",""
"\Eはぁっはぁっ…おにいちゃ…ん…ちゅ……れろ…","","","\E\font[3]\f[18]\-[2]Haa, haah... Onii-chan... nn... *kiss*... *lick*",""
"\E見つめ合うと自然に唇を重ね舌を絡ませる。","","","\E\font[3]\f[18]\-[2]When we look at each other, our lips naturally meet, and our tongues intertwine.",""
"\Eん…ちゅ…おにいちゃん……ちゅ…えへ…","","","\E\font[3]\f[18]\-[2]Nhn... *kiss*... Onii-chan... *kiss*... Ehe...",""
"\E熱い息の漏れる唇を重ねると
おずおずと妹の舌が割り込んでくる…。","","","\E\font[3]\f[18]\-[2]As I pressed my lips against hers, feeling the warmth of her breath.. 
My sister's tongue timidly intertwined with mine...",""
"\Eん…はぁ…ん…ぷぁ…おにい…ちゃ…ちゅ……","","","\E\font[3]\f[18]\-[2]Nhn... hah... nn... pwah... Onii-cha... *kiss*...",""
"\E視線が絡みお互い引き寄せられるように唇を重ね合う…。","","","\E\font[3]\f[18]\-[2]Our gazes intertwined, and our lips met as if being drawn to each other...",""
"\Eおにい…ちゃ…ん…すき♥
…ちゅ……んっ…すき……","","","\E\font[3]\f[18]\-[2]Onii-chan... I love you...\font[0]♥\font[3]
...*kiss*... nn... I love you...",""
"\E身体を重ねたまま吸い付くようにお互いの唇を求め合う…。","","","\E\font[3]\f[18]\-[2]We pressed our bodies together, seeking each other's lips as if clinging to each other...",""
"\Eんっ…はぁはぁ…おにいちゃ……
兄妹…なのに…しちゃった…ん…ちゅ……。","","","\E\font[3]\f[18]\-[2]Nhn... haah, haa... Onii-chan...
Even though... we're siblings... we did it... nn... *kiss*...",""
"\E妹の膣奥へペニスを突きたて強引に唇を奪う。","","","\E\font[3]\f[18]\-[2]I thrust my dick deep into her pussy and forcibly steal her lips.",""
"\E…やっ…こんなの…おにいちゃ…っ…。","","","\E\font[3]\f[18]\-[2]...No, don't... This is... Onii-chan...",""
"\E怪訝そうな表情で見つめてくる妹に唇を寄せる…。","","","\E\font[3]\f[18]\-[2]I brought my lips close to my sister's as she stared at me dubiously...",""
"\Eん…ちゅ…おにいちゃ…だめだよ…。","","","\E\font[3]\f[18]\-[2]Nhn... *kiss*... Onii-chan... don't...",""
"\E……え…な、なに？やだ…。","","","\E\font[3]\f[18]\-[2]......Eh... wh, what? No, you can't...",""
"hscene/h_s03_pose01_hand.png","","","",""
"\E眠る妹の髪をそっとすくいあげると
花のような香りがふわりと立ち上る。","","","\E\font[3]\f[18]\-[2]I gently lifted my sleeping sister's hair.. 
A delicate floral scent wafted into the air.",""
"\E柔らかな妹の髪を手に取り息を吸い込む、
鼻腔内いっぱいに花のような香りが広がる…。","","","\E\font[3]\f[18]\-[2]I gently ran my fingers through my sister's soft hair and took a deep breath... 
A delicate floral scent filled my nostrils.",""
"\Eすやすやと眠りにつく妹の髪をすくようにそっとなで、頬に触れる。
病気がちな妹を看病した思い出がよみがえる…。","","","\E\font[3]\f[18]\-[2]I gently stroked my sister's hair as she slept peacefully and lightly touched her cheek. 
Memories of taking care of my sickly sister come flooding back...",""
"\Eん……すぅ…すぅ……。","","","\E\font[3]\f[18]\-[2]Nhn... zzz... zzz...",""
"\E夢心地の中にいる妹を安心させるように頭を優しくなでる。","","","\E\font[3]\f[18]\-[2]I gently patted my sister's head to reassure her while she was in a dream-like state.",""
"\Eおにいちゃん…すき……すぅ…すぅ…","","","\E\font[3]\f[18]\-[2]Onii-chan... I love you... zzz... zzz...",""
"\Eむにゃ…えへ…おにいちゃん……","","","\E\font[3]\f[18]\-[2]Mnyah... ehe... Onii-chan...",""
"\E…ん…おにいちゃ？…すぅ…すぅ…","","","\E\font[3]\f[18]\-[2]...Nn... Onii-cha? ...zzz... zzz...",""
"\E妹の頭にそっと手を伸ばし優しく髪をなでる。","","","\E\font[3]\f[18]\-[2]I gently reached for my sister's head and softly stroked her hair.",""
"\E見つめてくる妹の頭にそっと手を伸ばし優しく髪をなでる。","","","\E\font[3]\f[18]\-[2]I gently reached for my sister's head as she stared at me and gently stroke her hair.",""
"\Eえへへ…お兄ちゃん…♥","","","\E\font[3]\f[18]\-[2]Hehe... Onii-chan...\font[0]♥\font[3]",""
"\E…おにいちゃん…安心する…。","","","\E\font[3]\f[18]\-[2]...Onii-chan... so calming...",""
"\E…ん…。","","","\E\font[3]\f[18]\-[2]...Nn....",""
"\E固くなった乳首の存在を示すかのように
膨らみの頂点にポツリと点を浮かび上がらせている…。","","","\E\font[3]\f[18]\-[2]A dot appeared at the top of the bulge... 
Seemingly indicating the existence of her erect nipples.",""
"\E薄手の肌着越しに上下する
乳房の形がはっきりと見て取れる。","","","\E\font[3]\f[18]\-[2]I could clearly see the shape of her breasts..
Moving up and down through her thin underwear.
",""
"\E桃色の乳頭が刺激を受けてぷくりと膨らんでいる…。","","","\E\font[3]\f[18]\-[2]Her pink nipples erect from the stimulation...",""
"\E白い肌にたわわな乳房が揺れている…。","","","\E\font[3]\f[18]\-[2]Her supple breasts sway against her pale skin...",""
"\E薄手の肌着越しに
乳房の形がはっきりと見て取れる。","","","\E\font[3]\f[18]\-[2]I could clearly see the shape of her breasts..
Through her thin underwear.
",""
"\E年齢の割に大きく育った乳房は
服の上からでもその膨らみがはっきりと分かる。","","","\E\font[3]\f[18]\-[2]Her breasts, which had grown large despite her age
could clearly be seen through her clothes.",""
"\E固くなったペニスが妹の胸に挟み込まれている…。","","","\E\font[3]\f[18]\-[2]My hardened dick is sandwiched between her boobs...",""
"まんこみる","","","",""
"\Eパジャマの裾から伸びる太ももが眩しい…。","","","\E\font[3]\f[18]\-[2]The thighs visible from beneath the hem of her pajamas are dazzling...",""
"挿入中の結合部を見る（睡眠中","","","",""
"\E尻穴のあるべき場所にはペニスが深く突き立てられている。
肉棒を咥えた肛門が吸盤のように吸い付いてくる。","","","\E\font[3]\f[18]\-[2]My dick thrust deep into what should have been her butthole.
Her anus, which has my member in its mouth, clung to it like a suction cup.",""
"\E溢れる愛液で互いの性器が怪しく濡れ光っている。
パンパンに膨れ上がったクリトリスが絶頂を待ちわび震えている。","","","\E\font[3]\f[18]\-[2]Our genitals glistened suspiciously with overflowing love juices.
Her swollen clitoris trembles impatiently, waiting for her climax.",""
"\Eにじみ出る愛液が絡み滑りがよくなったようだ。
にゅるにゅるとうごめく膣内に思わず射精感が込み上げてくる…。","","","\E\font[3]\f[18]\-[2]The oozing juices seemed to coil around her, making it slippery. 
I couldn't help but feel the urge to ejaculate welling up inside her as she wriggled...",""
"\Eぴちっと閉じた割れ目をこじ開けるようにペニスが挿入されている。
膣内は狭くぎちりと痛いほどに締め付けてくる…。","","","\E\font[3]\f[18]\-[2]My dick entered as if to wrench open her tightly closed folds.
Her insides narrowed and tightened painfully...",""
"\Eむき出しにされたクリトリスはピンと隆起し、
膣穴はヒクヒクと物欲しそうに収縮を繰り返している…。","","","\E\font[3]\f[18]\-[2]Her exposed clit perked up...
The inside of her pussy contracted greedily over and over again...",""
"\Eぬめりと湿り気を帯びた妹のまんこだ。
愛液で濡れ怪しくてかっている。","","","\E\font[3]\f[18]\-[2]It's my sister's sopping wet, slippery pussy.
She is wet with her love juices and looks at me suspiciously.",""
"\Eぷにぷにと柔らかいスジを押し広げると
きれいなピンク色の女性器が現れる…。","","","\E\font[3]\f[18]\-[2]When I spread out her soft, squishy folds, 
a beautiful pink female genitalia appeared...",""
"\Eスジの奥に見える膣穴から愛液が溢れ出し
てらてらといやらしく濡れ光っている。","","","\E\font[3]\f[18]\-[2]I can see deep inside her pussy 
where love juices are lewdly glistening.",""
"\E湿り気を帯びてツヤ光るスジまんこだ。","","","\E\font[3]\f[18]\-[2]It's a shiny wet pussy.",""
"\E太ももに挟まれぷっくりと膨らむ妹のスジまんこだ。","","","\E\font[3]\f[18]\-[2]It's my sister's pussy, puffed up between her thighs.",""
"挿入中の結合部を見るズラシ（睡眠中","","","",""
"\Eショーツの中央部にじわりと染みが広がっている…。","","","\E\font[3]\f[18]\-[2]A stain slowly spread out in the middle of her panties...",""
"\E柔らかい素材のショーツが湿気を吸って肌に張り付いている…。","","","\E\font[3]\f[18]\-[2]The soft fabric of her panties absorbed the moisture and clung to her skin.",""
"\E年相応のリボンの付いたかわいいショーツだ。","","","\E\font[3]\f[18]\-[2]A cute panties with ribbons befitting her age.",""
"\Eじっとりと汗ばむ肌に張り付くように食い込んでいる…。","","","\E\font[3]\f[18]\-[2]It clings to her moist, sweaty skin...",""
"\E蒸れた股間に食い込んでいる…。","","","\E\font[3]\f[18]\-[2]I'm looking at her moist crotch...",""
"\E伸びる太ももが眩しい部屋着のオーバーパンツだ。
柔らかい素材で色々と浮いて見えてしまう。","","","\E\font[3]\f[18]\-[2]Her bulging thighs shine in her loungewear shorts.
It's made of soft material, so I can see a lot of things floating around.",""
"挿入中の結合部を見る　きもちいい","","","",""
"\Eお尻っ…すき♥好きなの…あたし気持ちいいのっ♥
もっと…もっとパンパンしてっ…おねがい…中にだして…！","","","\E\font[3]\f[18]\-[2]My butt... I love it \font[0]♥\font[3]... it feels good for me... \font[0]♥\font[3]
More... fill me up more... please... cum inside me...!",""
"\Eあっ…お尻で気持ちよくなっちゃうぅ…あっあっ…
だめっ…おしりなのにっ！こんな…ぁ…あっ！あっ！","","","\E\font[3]\f[18]\-[2]Ah... my butt makes me feel good... ah, ah... 
I can't... even though it's my butt! This is... ah... ah! Ah!",""
"\Eおにい…ちゃ……ヘン…ヘンだよ…っ！
お尻で…なんて……あん…あ…だめぇ…。","","","\E\font[3]\f[18]\-[2]Onii-cha... I feel... we, weird...!
You can't... do it... with my butt... ahn... no... more...",""
"\E妹の割れ目に挟まれにゅるにゅると擦り上げられ、
膣奥から溢れる愛液が絡みつく…。","","","\E\font[3]\f[18]\-[2]As I rubbed against her folds, 
love juices overflowed from the depths of her pussy...",""
"\Eおにいちゃん…わかる？
妹のおまんこ…もうぬるぬるなんだよ？","","","\E\font[3]\f[18]\-[2]Onii-chan... can you feel it? 
Your sister's pussy... is already sopping wet, you know...?",""
"\Eお兄ちゃんの息がかかって…
あそこが切なくて…へんなの…。","","","\E\font[3]\f[18]\-[2]I can feel your breath hitting me...
The place down here feels suffocating... it's strange...",""
"\Eお、おにいちゃん…
おまた見られるのはずかしい…","","","\E\font[3]\f[18]\-[2]O, Onii-chan...
Don't stare at it too much, it's embarrassing...",""
"\Eここにお兄ちゃんのが入っちゃうんだよ…♥
ふふ…ねぇ、どうする…？","","","\E\font[3]\f[18]\-[2]Onii-chan's thing will go in here...\font[0]♥\font[3] 
Hehe... Hey, what are you going to do...?",""
"\Eお兄ちゃん…そんなとこ…見ないで…
は、はずかしいよ…。","","","\E\font[3]\f[18]\-[2]Onii-chan... don't... look at me like that... 
I, it's embarrassing...",""
"\Eだめっ…お兄ちゃん！そこは…！
見ないで…やだっ…やだやだ…！","","","\E\font[3]\f[18]\-[2]Noo... Onii-chan! That's...! 
Don't look... no... noo noo...!",""
"挿入中の結合部を見る　ノーマル","","","",""
"\Eもっ…と解さないと…きつ…ぃ…ぃ…
お尻っ…壊れちゃう……よ…。","","","\E\font[3]\f[18]\-[2]If you don't... loosen it... it will be... tight... 
My butt... will bre... ak...",""
"\Eくるし…っ…おにいちゃ…んっ…
い…たいよっ……むりぃ…！","","","\E\font[3]\f[18]\-[2]It hurts...nh... Onii-chan... nnh... 
It hurts... no more...!",""
"\Eいぃ…た…い…だめぇ……抜いてぇ…。","","","\E\font[3]\f[18]\-[2]Ow... ow... ow... nooo... pull it out...",""
"\Eぷっくらと膨らむスジまんこにペニスが埋もれている…。
妹が身をよじる度にいやらしい水音を立てている。","","","\E\font[3]\f[18]\-[2]My dick is buried inside the swollen pussy...
Every time my sister twists her body, there is a lewd slippery wet sound.",""
"\Eおまんこ…もう準備できてるから…ね♥","","","\E\font[3]\f[18]\-[2]My pussy... is already prepared... see? \font[0]♥\font[3]",""
"\Eお兄ちゃんに…見られちゃってる…
あたしの…あそこ…","","","\E\font[3]\f[18]\-[2]Onii-chan's... looking at it... 
My... private place...",""
"\Eああ…みないで…","","","\E\font[3]\f[18]\-[2]Aah... don't look...",""
"\Eお尻でえっちするの…すきになっちゃった…♥
いっぱい動いて…中に熱いの出して…。","","","\E\font[3]\f[18]\-[2]I've learned to love butt sex... \font[0]♥\font[3] 
Move more... then shoot out the hot stuff inside me....",""
"\Eぁ…えっちする場所じゃなないのに…っ…こんな…
ヘンだよぅ…おにいちゃん…お尻っこわれちゃう…っ","","","\E\font[3]\f[18]\-[2]Ah... that's not usually the place to have sex...nh... this is...
It's weird... Onii-chan... you're going to break my butt... kh...",""
"\Eっ…ぁ…っく！お尻っ…だめっ…
く、るしいよ……こんなの……おかしいっ…よ！","","","\E\font[3]\f[18]\-[2]...Ah... kh! My butt... no...
It, it hurts... this isn't... right!",""
"\E妹の割れ目で挟み込むようにペニスが埋もれている。
妹の体重や熱、ヌルヌルとした愛液の滑りが心地よい…。","","","\E\font[3]\f[18]\-[2]My dick is buried between her folds. 
Her body, warmth, and slippery love juices brings a sense of comfort...",""
"パンツあり挿入　きもちいい","","","",""
"\E蒸されて熱々でとろとろのおまんこだよ…？
挿入たらきっと気持ちいいよ…♥","","","\E\font[3]\f[18]\-[2]It's a hot, steamy, wet pussy, you know...? 
I'm sure it will feel good when you stick it in...\font[0]♥\font[3]",""
"\Eそんなにじっくり見ないで…はずかしいよ…。","","","\E\font[3]\f[18]\-[2]Don't stare at me like that... it's embarrassing...",""
"\Eこ、これは汗だから…うぅ…。","","","\E\font[3]\f[18]\-[2]Th, this is just a sweat... Uuu...",""
"\Eんっ…濡れてきちゃった…
お兄ちゃん…えっちなこと、しよ♥","","","\E\font[3]\f[18]\-[2]Nnh... it's getting wet... 
Onii-chan... let's have sex...\font[0]♥\font[3]",""
"\Eや、エッチなことしないで…だめだよ…。","","","\E\font[3]\f[18]\-[2]No, don't do anything perverted... You can't...",""
"\Eそ、そんなところ…見ちゃ…だめ…。","","","\E\font[3]\f[18]\-[2]T, that place... don't look at it... like that...",""
"\Eもう…妹のパンツがそんなに好きなの…？
息が荒くなってるよ…ふふ♥","","","\E\font[3]\f[18]\-[2]Geez... do you like your sister's panties that much...?
Your breathing is getting rough...\font[0]♥\font[3]",""
